Temperatura_K,F_CH4_salida_mol_h,F_H2_salida_mol_h,Conversion_CH4,Rendimiento_H2
700.0,3.7542472109233174,18.737258367230048,0.6245752789076683,1.8737258367230047
710.2564102564103,3.3165098032262375,20.05047059032129,0.6683490196773763,2.0050470590321288
720.5128205128206,2.8991180243866514,21.30264592684005,0.7100881975613349,2.130264592684005
730.7692307692307,2.506126664817155,22.481620005548535,0.7493873335182845,2.2481620005548537
741.025641025641,2.1412202412431243,23.57633927627063,0.7858779758756876,2.357633927627063
751.2820512820513,1.807951481223802,24.576145556328594,0.8192048518776198,2.4576145556328592
761.5384615384615,1.5043802234289632,25.486859329713113,0.8495619776571036,2.548685932971311
771.7948717948718,1.2332729171661967,26.30018124850141,0.8766727082833803,2.630018124850141
782.0512820512821,0.9950745279492329,27.0147764161523,0.9004925472050767,2.70147764161523
792.3076923076924,0.7894436858594298,27.631668942421708,0.921055631414057,2.763166894242171
802.5641025641025,0.6136701464080365,28.158989560775897,0.9386329853591964,2.8158989560775898
812.8205128205128,0.46718610408061234,28.598441687758168,0.9532813895919388,2.8598441687758167
823.0769230769231,0.3480273667389713,28.955917899783092,0.9651972633261028,2.895591789978309
833.3333333333334,0.2525233943584147,29.24242981692476,0.9747476605641585,2.9242429816924758
843.5897435897436,0.1783911529448019,29.464826541165596,0.9821608847055199,2.9464826541165596
853.8461538461538,0.12248876367898459,29.63253370896305,0.9877511236321016,2.9632533708963047
864.1025641025641,0.08140189216165263,29.75579432351504,0.9918598107838348,2.975579432351504
874.3589743589744,0.05236272263541436,29.84291183209376,0.9947637277364585,2.984291183209376
884.6153846153846,0.03244373688008025,29.90266878935976,0.9967556263119921,2.9902668789359756
894.8717948717949,0.01936696064538416,29.941899118063844,0.9980633039354616,2.9941899118063846
905.1282051282051,0.011084838300266674,29.966745485099207,0.9988915161699733,2.9966745485099207
915.3846153846155,0.006083781849361194,29.98174865445192,0.9993916218150639,2.998174865445192
925.6410256410256,0.0031887189521858875,29.990433843143443,0.9996811281047814,2.9990433843143443
935.8974358974359,0.0015937521967068272,29.995218743409875,0.9998406247803293,2.9995218743409877
946.1538461538462,0.0007582698805305354,29.997725190358416,0.999924173011947,2.9997725190358415
956.4102564102564,0.0003425667053566559,29.998972299883928,0.9999657433294644,2.9998972299883926
966.6666666666667,0.00014635727240834754,29.99956092818278,0.9999853642727592,2.999956092818278
976.9230769230769,5.9211544299657876e-05,29.99982236536711,0.9999940788455701,2.999982236536711
987.1794871794872,2.2709467898504483e-05,29.9999318715963,0.99999772905321,2.99999318715963
997.4358974358975,8.226615019327531e-06,29.99997532015495,0.9999991773384981,2.999997532015495
1007.6923076923077,2.8214095911089203e-06,29.999991535771237,0.9999997178590408,2.9999991535771238
1017.948717948718,1.0755653628065514e-06,29.99999677330391,0.9999998924434637,2.9999996773303907
1028.2051282051282,3.1958645709147265e-07,29.999999041240628,0.9999999680413543,2.9999999041240626
1038.4615384615386,2.826592676604529e-07,29.999999152022205,0.9999999717340732,2.9999999152022205
1048.7179487179487,7.361773321016171e-08,29.999999779146798,0.9999999926382268,2.9999999779146798
1058.974358974359,1.5378934736765107e-07,29.99999953863197,0.9999999846210652,2.999999953863197
1069.2307692307693,1.624033552632828e-07,29.999999512789937,0.9999999837596645,2.9999999512789937
1079.4871794871794,1.138469514865564e-07,29.99999965845915,0.9999999886153048,2.999999965845915
1089.7435897435898,2.0750135087017667e-06,29.999993774959474,0.9999997924986491,2.9999993774959473
1100.0,4.695414612463617e-07,29.999998591375622,0.9999999530458539,2.9999998591375623
